film,year,movies.budget,movies.revenue,movies.popularity,status
Pride & Prejudice,2005,28000000,121147947,45.9,nominated
The Sand Pebbles,1966,12000000,20000000,9.26,nominated
A History of Violence,2005,32000000,60740827,11.54,nominated
Alfie,1966,0,0,7.23,nominated
Pan's Labyrinth,2006,19000000,83258226,43.94,nominated
Little Children,2006,26000000,14821658,16.65,nominated
Little Miss Sunshine,2006,8000000,100523181,15.25,winner
In the Heat of the Night,1967,2000000,27379978,8.71,nominated
The Queen,2006,15000000,123384128,11.92,nominated
The Graduate,1967,3000000,104945305,14.47,winner
Notes on a Scandal,2006,15000000,49814392,10.25,nominated
Oliver!,1968,10000000,37402877,10.94,nominated
Planet of the Apes,1968,5800000,32589624,31.81,nominated
Dreamgirls,2006,70000000,154937680,12.74,nominated
Babel,2006,25000000,135330182,16.56,nominated
Bullitt,1968,5500000,42300873,8.98,winner
Z,1969,0,83305,11.3,nominated
Midnight Cowboy,1969,3600000,44785053,10.04,winner
Butch Cassidy and the Sundance Kid,1969,6000000,102308889,12.17,nominated
Juno,2007,7500000,232372681,20.83,nominated
"They Shoot Horses, Don't They?",1969,0,0,7.85,nominated
Alice's Restaurant,1969,0,0,4.43,nominated
The Savages,2007,0,10653221,6.31,nominated
No Country for Old Men,2007,25000000,171627166,25.94,nominated
Easy Rider,1969,360000,60000000,11.34,nominated
Atonement,2007,30000000,131016624,21.51,nominated
Love Story,1970,2200000,136400000,9.09,nominated
Patton,1970,12000000,89800000,9.46,winner
Tora! Tora! Tora!,1970,25485000,37150000,12.1,nominated
Lars and the Real Girl,2007,12000000,11293663,10.1,nominated
La Vie en Rose,2007,25000000,86274793,12.95,nominated
Elizabeth: The Golden Age,2007,55000000,74237563,11.96,winner
Across the Universe,2007,45000000,29625761,10.86,nominated
A Clockwork Orange,1971,2200000,26589000,36.41,nominated
The French Connection,1971,1800000,41158757,9.39,nominated
The Last Picture Show,1971,1300000,29133000,8.27,nominated
The Dark Knight,2008,185000000,1004558444,88.38,nominated
The Godfather,1972,6000000,245066411,68.09,winner
The Curious Case of Benjamin Button,2008,150000000,333932083,39.14,nominated
The Poseidon Adventure,1972,5000000,84563118,12.15,nominated
1776,1972,0,0,9.28,nominated
Happy-Go-Lucky,2008,0,18696602,7.61,nominated
Deliverance,1972,2000000,46122355,9.94,nominated
The Sting,1973,5500000,159616327,11.63,winner
American Graffiti,1973,777000,140000000,8.57,nominated
A Touch of Class,1973,0,18312000,2.33,nominated
The Duchess,2008,17759769,43306325,13.97,winner
Serpico,1973,3000000,29800000,8.62,nominated
In the Loop,2009,0,6149791,8.81,nominated
The Conversation,1974,1600000,4420000,9.62,nominated
Inglourious Basterds,2009,70000000,321457747,89.72,nominated
Avatar,2009,237000000,2847246203,523.1,nominated
Blazing Saddles,1974,2600000,119500000,11.01,nominated
Chinatown,1974,6000000,30000000,16.63,nominated
The Towering Inferno,1974,14000000,116000000,9.54,winner
An Education,2009,7500000,26096852,9.55,nominated
Bright Star,2009,10000000,14374652,9.1,nominated
Young Frankenstein,1974,2800000,86273333,14.4,nominated
The Young Victoria,2009,35000000,29196409,10.96,winner
Barry Lyndon,1975,11000000,198992,12.18,nominated
All the President's Men,1976,8500000,70600000,15.75,winner
Rocky,1976,1000000,117250402,51.6,nominated
Taxi Driver,1976,1300000,28570902,40.49,nominated
Two-Minute Warning,1976,0,0,4.89,nominated
